"SubmissionID","finished","pause","scrubbed","unused","Recording","finished.p","pause.p","scrubbed.p","unused.p","project","course","sem","report"
1532,2,0,1,0,2,100,0,50,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1533,1,1,0,6,7,14,14,0,86,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1534,1,0,0,0,1,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1535,4,0,0,5,9,44,0,0,56,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1536,7,0,0,4,11,64,0,0,36,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1537,8,2,0,1,9,89,22,0,11,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1538,1,1,0,2,4,25,25,0,50,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1540,1,0,0,0,1,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1541,0,0,0,5,5,0,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1542,5,0,0,5,10,50,0,0,50,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1543,5,2,1,0,5,100,40,20,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1544,1,0,0,0,1,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
