"StudentID","SubmissionID","MarkerID","Publish.Time","Intro","Hypoth","Methods","Results.text","Fig.Tables","Legend.Title","Disc.InterpFindings","Disc.IntegrateLit","Refs","Kn.PhysMechs","Kn.ExpApproach","W.Structure","W.LanguageJargon","W.GrammarSpelling","Final.Grade","project","course","sem","report"
"S8581691",3357,"T32","29/04/13 14:30",65,80,80,80,100,80,65,50,65,80,50,100,100,"65",74,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8579973",3358,"T09","29/04/13 14:30",100,100,65,100,80,100,20,35,65,50,65,65,65,"50",64,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8458433",3359,"T32","29/04/13 14:30",35,50,35,35,100,80,20,20,35,35,0,50,35,"65",38.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8583291",3360,"T33","29/04/13 14:30",50,100,65,50,80,65,65,65,35,65,50,65,65,"80",63.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8579545",3361,"T26","29/04/13 14:30",20,100,80,0,100,65,20,0,20,20,20,50,65,"65",39.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8526807",3362,"T09","29/04/13 14:30",20,100,65,20,100,100,50,0,50,35,20,65,35,"50",45.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8532163",3363,"T33","29/04/13 14:29",35,80,50,80,100,80,50,35,80,50,65,65,65,"65",58.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8497039",3364,"T33","29/04/13 14:29",20,65,35,65,100,35,35,35,35,20,35,35,35,"35",37.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8473749",3365,"T32","29/04/13 14:30",35,65,50,50,100,65,50,20,20,20,35,100,80,"65",47.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8600241",3366,"T32","29/04/13 14:30",65,80,50,50,100,80,100,100,100,100,65,100,100,"100",85.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8584303",3367,"T32","29/04/13 14:30",80,50,80,50,100,35,50,65,65,35,50,80,50,"50",59.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8525231",3368,"T09","29/04/13 14:30",35,100,65,50,80,100,35,35,80,50,35,65,20,"65",54.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
