"SubmissionID","marking.sec","Text","Drawing","Recording","project","course","sem","report","marking.min"
1802,337,88,0,13,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",5.62
1803,2054,40,25,35,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",34.23
1804,730,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",12.17
1805,392,92,0,8,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",6.53
1806,3597,25,62,13,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",59.95
1808,764,92,8,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",12.73
1926,688,67,12,21,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",11.47
1811,564,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.4
1812,649,68,11,21,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.82
1939,828,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.8
1814,613,75,4,21,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.22
1925,598,73,13,13,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.97
1816,1262,50,0,50,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",21.03
1817,1419,63,19,19,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",23.65
1818,734,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",12.23
1819,529,71,29,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",8.82
1820,529,57,14,29,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",8.82
1927,1019,81,15,4,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",16.98
1822,1351,50,28,21,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",22.52
1823,577,74,26,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.62
1824,849,67,33,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",14.15
1825,289,78,22,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",4.82
1826,470,92,0,8,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",7.83
1827,750,57,0,43,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",12.5
1828,614,36,9,55,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.23
1829,481,13,0,88,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",8.02
1830,756,67,0,33,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",12.6
1831,403,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",6.72
1832,682,83,0,17,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",11.37
1833,661,10,0,90,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",11.02
