"","StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent"
"624","S8643593",9260,"T06","18/10/13 8:08",100,100,100,100,80,100,60,100,100,100,100,100,NA,100,4648,"Yes"
"625","S8643645",9548,"T17","15/10/13 17:26",100,100,100,80,100,100,100,100,100,100,100,100,NA,100,4545,"Yes"
"626","S8643661",9847,"T07","6/10/13 22:02",80,100,60,80,80,100,60,80,80,80,100,80,NA,80,4669,"Yes"
"627","S8643663",9353,"T07","5/10/13 13:01",80,100,80,100,100,80,100,80,80,100,100,80,NA,100,4399,"Yes"
"628","S8643671",9810,"T10","11/10/13 2:54",80,100,100,80,100,100,100,80,100,60,60,80,NA,80,4667,"Yes"
"629","S8643673",8994,"T14","3/10/13 11:59",80,100,80,100,80,100,80,80,100,100,100,100,NA,100,4426,"Yes"
"630","S8643683",9795,"T16","21/10/13 12:05",80,80,60,100,40,20,20,40,40,20,20,80,NA,40,4623,"Yes"
"631","S8643685",9289,"T06","18/10/13 8:08",100,80,60,80,80,100,60,100,100,100,100,100,NA,80,4282,"Yes"
"632","S8643739",9718,"T15","14/10/13 9:35",60,40,40,80,20,100,80,40,40,60,20,60,NA,60,4284,"Yes"
"633","S8643741",9726,"T12","2/10/13 21:37",100,100,80,100,100,100,80,100,100,80,100,100,NA,100,4482,"Yes"
"634","S8643791",9434,"T04","16/10/13 0:29",100,100,80,20,80,100,80,80,80,100,100,60,NA,80,4239,"Yes"
"635","S8643805",9811,"T10","11/10/13 2:54",80,100,100,100,20,100,80,40,60,20,20,60,NA,60,4406,"Yes"
"636","S8643821",9029,"T17","15/10/13 17:26",100,100,100,80,100,100,60,80,100,100,100,100,NA,100,4504,"Yes"
"637","S8643859",9376,"T15","9/10/13 16:24",100,100,100,80,100,100,100,80,80,100,100,80,NA,100,4199,"Yes"
"638","S8643887",8903,"T02","16/10/13 12:21",100,100,100,100,100,100,100,100,80,100,100,100,NA,100,4307,"Yes"
"639","S8643891",9039,"T15","21/10/13 12:05",100,100,100,100,100,100,100,100,100,100,100,100,NA,100,4225,"Yes"
"640","S8643919",9691,"T01","5/10/13 13:01",100,100,80,100,100,100,100,80,80,100,100,100,NA,100,4501,"Yes"
"642","S8643939",9182,"T04","16/10/13 0:29",100,100,80,100,100,100,100,100,100,100,100,80,NA,100,4585,"Yes"
"643","S8643945",9683,"T13","7/10/13 22:32",100,100,100,100,100,100,80,100,80,100,100,100,NA,100,4390,"Yes"
"644","S8643985",9463,"T03","11/10/13 9:08",40,100,60,80,80,80,80,40,40,80,80,60,NA,NA,4701,"Yes"
"645","S8644065",9766,"T01","5/10/13 13:01",100,100,80,100,20,80,80,80,100,80,80,100,NA,80,4408,"Yes"
"646","S8644083",8918,"T14","3/10/13 11:59",100,100,100,80,100,100,80,80,100,100,100,100,NA,100,4643,"Yes"
