"","StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent"
"867","S8647697",6515,"T15","9/09/13 9:19",100,100,80,80,80,80,80,80,80,80,40,80,NA,80,4312,"Yes"
"868","S8647717",8408,"T13","2/09/13 14:16",80,100,80,80,100,100,80,80,60,80,40,80,NA,80,4534,"Yes"
"869","S8647731",7972,"T05","8/09/13 19:09",100,100,100,100,100,100,100,100,100,100,60,100,NA,100,4650,"Yes"
"870","S8647735",6451,"T13","9/09/13 14:41",100,100,80,80,100,100,100,100,100,80,100,100,NA,100,4687,"Yes"
"871","S8647739",8671,"T12","1/09/13 23:17",80,60,80,100,80,80,60,80,100,60,100,80,NA,80,4540,"Yes"
"872","S8647739",7970,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4540,"Yes"
"873","S8647757",8078,"T02","14/09/13 17:47",100,100,100,100,100,100,60,100,80,100,100,100,NA,100,4447,"Yes"
"874","S8647767",8187,"T02","2/09/13 14:16",100,100,100,100,100,100,60,80,80,80,100,80,NA,100,4259,"Yes"
"875","S8647771",8433,"T13","18/09/13 13:26",80,100,100,80,80,100,80,60,80,80,100,80,NA,80,4591,"Yes"
"876","S8647797",8561,"T10","20/09/13 4:11",100,100,80,100,100,100,80,80,100,80,60,80,NA,80,4473,"Yes"
"877","S8647805",8016,"T05","8/09/13 19:09",100,100,100,100,100,100,100,100,80,80,80,100,NA,100,4518,"Yes"
"878","S8647809",8364,"T15","1/09/13 23:17",80,100,80,100,80,80,80,80,60,60,40,80,NA,80,4194,"Yes"
"879","S8647845",8001,"T10","12/09/13 10:54",80,100,80,40,80,100,80,80,80,40,20,80,NA,80,4631,"Yes"
"880","S8647863",8376,"T17","17/09/13 13:14",80,100,100,100,100,100,80,100,100,100,100,100,NA,100,4693,"Yes"
"881","S8647863",8367,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4693,"Yes"
"882","S8647865",6568,"T01","9/09/13 14:41",100,100,60,80,100,80,60,60,100,100,100,80,NA,80,4641,"Yes"
"883","S8647877",8399,"T02","2/09/13 14:16",100,100,60,100,80,100,60,60,60,100,60,100,NA,80,4200,"Yes"
"884","S8647899",8145,"T06","2/09/13 14:16",100,100,80,80,80,100,60,100,80,80,100,100,NA,80,4153,"Yes"
"885","S8647909",8295,"T15","18/09/13 13:26",100,100,40,80,80,100,100,80,60,40,20,80,NA,80,4272,"Yes"
"886","S8647953",8597,"T13","19/09/13 11:27",80,100,100,100,100,100,100,100,100,80,100,100,NA,100,4110,"Yes"
"888","S8647989",8650,"T08","20/09/13 4:11",100,80,100,80,100,100,60,100,100,100,100,100,NA,100,4689,"Yes"
"889","S8647995",6528,"T10","10/09/13 13:41",80,40,40,40,40,100,80,80,60,20,60,80,NA,60,4524,"Yes"
"890","S8647997",8050,"T08","9/09/13 13:18",80,100,40,100,80,60,40,60,60,60,40,100,NA,60,4425,"Yes"
"891","S8648005",8414,"T02","17/09/13 13:14",100,100,100,100,100,100,60,100,100,80,100,100,NA,100,4692,"Yes"
